Sn,Companies Name,City,HR Mail ID,Career Link,Status,Roles,Packages,Experience,WFH/WFO,Skills,Date ,Follow-up-1(24hrs),Follow-up-2(48hrs),Follow-up-3(100 HRS),Shifts
43,Novartis Analytics (Hyderabad hub),Hydrabad,abdul.w@neemans.com,https://novartis.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
44,Optum (analytics-heavy teams),Hydrabad,abdul.w@neemans.com,https://optum.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
45,Wells Fargo Analytics,Hydrabad,abdul.w@neemans.com,https://wellsfargo.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
46,JPMorgan Analytics Center,Hydrabad,abdul.w@neemans.com,https://jpmorgan.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
47,ServiceNow (data roles),Hydrabad,abdul.w@neemans.com,https://servicenow.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
48,Pegasystems,Hydrabad,abdul.w@neemans.com,https://pega.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
49,Salesforce (India analytics teams),Hydrabad,abdul.w@neemans.com,https://salesforce.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
50,Amazon Development Center (analytics roles),Hydrabad,abdul.w@neemans.com,https://amazon.jobs/en/teams/India,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
51,Microsoft,Hydrabad,abdul.w@neemans.com,https://careers.microsoft.com,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
52,Google,Hydrabad,abdul.w@neemans.com,https://careers.google.com,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
53,Amazon,Hydrabad,abdul.w@neemans.com,https://www.amazon.jobs,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
54,Apple,Hydrabad,abdul.w@neemans.com,https://jobs.apple.com,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
55,Meta,Hydrabad,abdul.w@neemans.com,https://www.metacareers.com,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
56,Oracle,Hydrabad,abdul.w@neemans.com,https://www.oracle.com/corporate/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
57,IBM,Hydrabad,abdul.w@neemans.com,https://www.ibm.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
58,Accenture,Hydrabad,abdul.w@neemans.com,https://www.accenture.com/in-en/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
59,Deloitte,Hydrabad,abdul.w@neemans.com,https://www2.deloitte.com/global/en/careers.html,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
60,EY (Ernst & Young),Hydrabad,abdul.w@neemans.com,https://www.ey.com/en_in/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
61,KPMG,Hydrabad,abdul.w@neemans.com,https://home.kpmg/xx/en/home/careers.html,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
62,PwC,Hydrabad,abdul.w@neemans.com,https://www.pwc.in/careers.html,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
63,Jp Morgan Chase,Hydrabad,abdul.w@neemans.com,https://careers.jpmorgan.com/global/en/home,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
64,Goldman Sachs,Hydrabad,abdul.w@neemans.com,https://www.goldmansachs.com/careers/,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
65,Wells Fargo,Hydrabad,abdul.w@neemans.com,https://www.wellsfargo.com/about/careers/,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
66,HSBC,Hydrabad,abdul.w@neemans.com,https://www.hsbc.com/careers/,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
67,American Express,Hydrabad,abdul.w@neemans.com,https://www.americanexpress.com/en-us/careers/,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
68,UBS,Hydrabad,abdul.w@neemans.com,https://www.ubs.com/global/en/careers.html,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
69,Citi,Hydrabad,abdul.w@neemans.com,https://www.citigroup.com/citi/careers/,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
70,Barclays,Hydrabad,abdul.w@neemans.com,https://search.jobs.barclays/,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
71,Qualcomm,Hydrabad,abdul.w@neemans.com,https://www.qualcomm.com/company/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
72,Samsung R&D,Hydrabad,abdul.w@neemans.com,https://www.samsung.com/in/samsung-research-institute/,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
73,Intel,Hydrabad,abdul.w@neemans.com,https://www.intel.com/content/www/us/en/jobs/jobs-at-intel.html,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
74,Nvidia,Hydrabad,abdul.w@neemans.com,https://www.nvidia.com/en-us/about-nvidia/careers/,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
75,AMD,Hydrabad,abdul.w@neemans.com,https://www.amd.com/en/corporate/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
76,Dell Technologies,Hydrabad,abdul.w@neemans.com,https://jobs.dell.com,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
77,DXC Technology,Hydrabad,abdul.w@neemans.com,https://dxc.com/us/en/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
78,SAP Labs,Hydrabad,abdul.w@neemans.com,https://jobs.sap.com,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
79,Salesforce,Hydrabad,abdul.w@neemans.com,https://www.salesforce.com/company/careers/,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
80,ServiceNow,Hydrabad,abdul.w@neemans.com,https://www.servicenow.com/careers.html,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
81,Bosch Global Software,Hydrabad,abdul.w@neemans.com,https://www.bosch-career.com/en,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
82,Siemens,Hydrabad,abdul.w@neemans.com,https://new.siemens.com/global/en/company/jobs.html,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
83,Schneider Electric,Hydrabad,abdul.w@neemans.com,https://www.se.com/in/en/about-us/careers/,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
84,Honeywell,Hydrabad,abdul.w@neemans.com,https://careersathoneywell.com,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
85,GE Digital,Hydrabad,abdul.w@neemans.com,https://jobs.gecareers.com/global/en,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
86,Philips,Hydrabad,abdul.w@neemans.com,https://www.careers.philips.com/global/en,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
87,Novartis,Hydrabad,abdul.w@neemans.com,https://www.novartis.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
88,Roche,Hydrabad,abdul.w@neemans.com,https://www.roche.com/careers.htm,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
89,Pfizer,Hydrabad,abdul.w@neemans.com,https://www.pfizer.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
90,AstraZeneca,Hydrabad,abdul.w@neemans.com,https://careers.astrazeneca.com,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
91,PepsiCo,Hydrabad,abdul.w@neemans.com,https://www.pepsicojobs.com/main/,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
92,Procter & Gamble,Hydrabad,abdul.w@neemans.com,https://www.pgcareers.com,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
93,Unilever,Hydrabad,abdul.w@neemans.com,https://www.unilever.com/careers/,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
94,Walmart Global Tech,Hydrabad,abdul.w@neemans.com,https://careers.walmart.com,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
95,Target,Hydrabad,abdul.w@neemans.com,https://jobs.target.com,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
96,Costco,Hydrabad,abdul.w@neemans.com,https://www.costco.com/jobs.html,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
97,IKEA,Hydrabad,abdul.w@neemans.com,https://www.ikea.com/in/en/this-is-ikea/work-with-us/,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
98,Adidas,Hydrabad,abdul.w@neemans.com,https://careers.adidas-group.com/,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
99,Uber,Hydrabad,abdul.w@neemans.com,https://www.uber.com/global/en/careers/,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
100,Airbnb,Hydrabad,abdul.w@neemans.com,https://careers.airbnb.com/,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
101,RedBrick AI,Mumbai,abdul.w@neemans.com,https://www.redbrickai.com,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
102,Atomic Loops,Mumbai,abdul.w@neemans.com,https://www.atomicloops.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
103,Voicemaker,Mumbai,abdul.w@neemans.com,https://www.voicemaker.in/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
104,Searchin,Mumbai,abdul.w@neemans.com,https://searchin.ai/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
105,BrandNav,Mumbai,abdul.w@neemans.com,https://brandnav.io/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
106,Upswing,Mumbai,abdul.w@neemans.com,https://upswing.one/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
107,FlexifyMe,Mumbai,abdul.w@neemans.com,https://flexifyme.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
108,BioMarkIQ,Mumbai,abdul.w@neemans.com,https://biomarkiq.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
109,Xplore Health,Mumbai,abdul.w@neemans.com,https://xplorehealth.ai/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
110,FORM3D,Mumbai,abdul.w@neemans.com,https://form3d.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
111,Facilio,Mumbai,abdul.w@neemans.com,https://facilio.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
112,Zvolv,Mumbai,abdul.w@neemans.com,https://zvolv.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
113,Senseforth.ai,Mumbai,abdul.w@neemans.com,https://senseforth.ai/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
114,Acceldata,Mumbai,abdul.w@neemans.com,https://www.acceldata.io/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
115,Mindstix AI,Mumbai,abdul.w@neemans.com,https://mindstix.ai/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
116,AlgoBulls,Mumbai,abdul.w@neemans.com,https://algobulls.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
117,DeepTek,Mumbai,abdul.w@neemans.com,https://deeptek.ai/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
118,Nuclios,Mumbai,abdul.w@neemans.com,https://nuclios.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
119,Finiq Consulting,Mumbai,abdul.w@neemans.com,https://finiq.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
120,Winjit Digital,Mumbai,abdul.w@neemans.com,https://www.winjit.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
121,Coditas,Mumbai,abdul.w@neemans.com,https://coditas.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
122,Taction Software,Mumbai,abdul.w@neemans.com,https://tactionsoftware.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
123,Qualitas Global,Mumbai,abdul.w@neemans.com,https://qualitasglobal.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
124,Harbinger Group (new SaaS units),Mumbai,abdul.w@neemans.com,https://harbingergroup.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
125,Knorex,Mumbai,abdul.w@neemans.com,https://knorex.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
126,Mindbowser,Mumbai,abdul.w@neemans.com,https://mindbowser.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
127,Aexonic Technologies,Mumbai,abdul.w@neemans.com,https://aexonic.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
128,Talent500 (Pune tech hub teams),Mumbai,abdul.w@neemans.com,https://talent500.co/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
129,Growisto,Mumbai,abdul.w@neemans.com,https://growisto.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
130,InCruiter,Mumbai,abdul.w@neemans.com,https://incruiter.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
131,Dataeaze,Mumbai,abdul.w@neemans.com,https://dataeaze.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
132,Quantiphi (new-age AI teams),Mumbai,abdul.w@neemans.com,https://quantiphi.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
133,Enfec Solutions,Mumbai,abdul.w@neemans.com,https://enfec.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
134,ThinkBridge,Mumbai,abdul.w@neemans.com,https://thinkbridge.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
135,CloudNext,Mumbai,abdul.w@neemans.com,https://cloudnext.tech/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
136,Rean Cloud,Mumbai,abdul.w@neemans.com,https://reancloud.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
137,LogicMonitor India (new teams),Mumbai,abdul.w@neemans.com,https://www.logicmonitor.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
138,Fyntune Solutions,Mumbai,abdul.w@neemans.com,https://fyntune.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
139,Securly,Mumbai,abdul.w@neemans.com,https://www.securly.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
140,Clue4,Mumbai,abdul.w@neemans.com,https://clue4.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
141,BluCognition,Mumbai,abdul.w@neemans.com,https://blucognition.ai/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
142,SimplifyVMS,Mumbai,abdul.w@neemans.com,https://simplifyvms.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
143,Vymo (Pune analytics teams),Mumbai,abdul.w@neemans.com,https://vymo.com/careers,Pending,DS,5LPA - 8LPA,1,WFH,,,PENDING,PENDING,PENDING,DAY
144,Skillenza,Mumbai,abdul.w@neemans.com,https://skillenza.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
145,Detect Technologies,Mumbai,abdul.w@neemans.com,https://detecttechnologies.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
146,CreditVidya (Pune analytics teams),Mumbai,abdul.w@neemans.com,https://www.creditvidya.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
147,Bizom,Mumbai,abdul.w@neemans.com,https://bizom.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
148,GoStops Tech,Mumbai,abdul.w@neemans.com,https://gostops.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
149,Qure.ai (Pune presence),Mumbai,abdul.w@neemans.com,https://www.qure.ai/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
150,SpotDraft,Mumbai,abdul.w@neemans.com,https://www.spotdraft.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
151,Tata Consultancy Services (TCS),Mumbai,abdul.w@neemans.com,https://www.tcs.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
152,Infosys,Mumbai,abdul.w@neemans.com,https://www.infosys.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
153,Wipro,Mumbai,abdul.w@neemans.com,https://careers.wipro.com,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
154,Tech Mahindra,Mumbai,abdul.w@neemans.com,https://careers.techmahindra.com,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
155,Accenture,Mumbai,abdul.w@neemans.com,https://www.accenture.com/in-en/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
156,Capgemini,Mumbai,abdul.w@neemans.com,https://www.capgemini.com/in-en/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
157,Cognizant,Mumbai,abdul.w@neemans.com,https://careers.cognizant.com,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
158,IBM India,Mumbai,abdul.w@neemans.com,https://www.ibm.com/in-en/employment,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
159,Barclays Technology Centre,Mumbai,abdul.w@neemans.com,https://search.jobs.barclays/,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
